Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Elective,MTH305/MTH505,Linear Optimization,Pravesh Biyani,4,LO,Thursday,1000AM,1130AM,0,Lecture,C22
Elective,MTH570,Numerical Solutions for Differential Equations,Kaushik Kalyanaraman,4,NSDE,Tuesday,0230PM,0400PM,0,Lecture,C13
Elective,MTH570,Numerical Solutions for Differential Equations,Kaushik Kalyanaraman,4,NSDE,Friday,0230PM,0400PM,0,Lecture,C13
Elective,ECO313,Market Design,Rakesh Chaturvedi,4,MD,Monday,0400PM,0530PM,0,Lecture,C22
Elective,ECO313,Market Design,Rakesh Chaturvedi,4,MD,Wednesday,0400PM,0530PM,0,Lecture,C22
Elective,ENT402,Entrepreneurship II,Hemant Kumar(V),2,ENTII,Monday,0230PM,0400PM,0,Lecture,LR1
Elective,FIN402,Valuation and Portfolio Management,Pankaj Vajpayee(V),4,VPM,Tuesday,1130AM,0100PM,0,Lecture,C21
Elective,FIN402,Valuation and Portfolio Management,Pankaj Vajpayee(V),4,VPM,Friday,1130AM,0100PM,0,Lecture,C21
Elective,MGT310,Effective Supply Chain Management for E Commerce,Sanjiva Dubey(G),4,SCM,Tuesday,0400PM,0530PM,0,Lecture,C24
Elective,MGT310,Effective Supply Chain Management for E Commerce,Sanjiva Dubey(G),4,SCM,Friday,0400PM,0530PM,0,Lecture,C24
Elective,PSY202,Positive Psychology,Akshay Kumar(V),4,PPSY,Monday,0400PM,0530PM,0,Lecture,C01
Elective,PSY202,Positive Psychology,Akshay Kumar(V),4,PPSY,Wednesday,0400PM,0530PM,0,Lecture,C01
Elective,PSY301,Introduction to Cognitive Psychology,Venkat Ratandeep Suri,4,CPSY,Monday,0400PM,0530PM,0,Lecture,C02
Elective,PSY301,Introduction to Cognitive Psychology,Venkat Ratandeep Suri,4,CPSY,Wednesday,0400PM,0530PM,0,Lecture,C02
Elective,SOC201,Introduction to Sociology/Anthropology,Amrit Srinivasan(V),4,ISA,Monday,1130AM,0100PM,0,Lecture,C11
Elective,SOC201,Introduction to Sociology/Anthropology,Amrit Srinivasan(V),4,ISA,Wednesday,1130AM,0100PM,0,Lecture,C11
Elective,SOC205,Anthropology of Social Media,Shriram Venkatraman,4,ASM,Monday,1130AM,0100PM,0,Lecture,C01
Elective,SOC205,Anthropology of Social Media,Shriram Venkatraman,4,ASM,Wednesday,1130AM,0100PM,0,Lecture,C01
Elective,SSH121,Introduction to Philosophy,Raj Ayyar(V),4,IPHI,Monday,1130AM,0100PM,0,Lecture,C12
Elective,SSH121,Introduction to Philosophy,Raj Ayyar(V),4,IPHI,Wednesday,1130AM,0100PM,0,Lecture,C12
Elective,SSH124,Critical Thinking,Raj Ayyar(V),4,CT ,Monday,0400PM,0530PM,0,Lecture,C12
Elective,SSH124,Critical Thinking,Raj Ayyar(V),4,CT ,Wednesday,0400PM,0530PM,0,Lecture,C12
Elective,SSH214,Introduction to the Study of Literature,Honey Jhalani(G),4,Lit,Monday,0400PM,0530PM,0,Lecture,LR1
Elective,SSH214,Introduction to the Study of Literature,Honey Jhalani(G),4,Lit,Wednesday,0400PM,0530PM,0,Lecture,LR1
Elective,SSH217,Indian Poetry through the Ages,Saumya Kulshreshtha(G),2,IPA,Tuesday,0430PM,0600PM,0,Lecture,C12
Elective,CSE5xx ,Approximation Algorithm,,4,AAG,Tuesday,1130AM,0100PM,0,Lecture,C13
Elective,CSE5xx ,Approximation Algorithm,,4,AAG,Friday,1130AM,0100PM,0,Lecture,C13
Elective,PHY3xx,Elements of Modern Physics,Sukanta Dutta,4,MPHY,Monday,0230PM,0400PM,0,Lecture,A006
Elective,PHY3xx,Elements of Modern Physics,Sukanta Dutta,4,MPHY,Thursday,0230PM,0400PM,0,Lecture,A006
