Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Mandatory,ECE240,Principles of Communication Systems,Anand Srivastava,4,PCS,Tuesday,1230PM,0130PM,2,Tutorial,LR3
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Tuesday,0230PM,0400PM,0,Lecture,C21
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Friday,0230PM,0400PM,0,Lecture,C21
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Monday,0830AM,1000AM,1,Tutorial,C22
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Tuesday,0400PM,0530PM,1,Tutorial,LR1
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Tuesday,0400PM,0530PM,2,Tutorial,LR2
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Thursday,1000AM,1130AM,1,Tutorial,S02
Mandatory,MTH204,Maths IV,Sarthok Sircar,4,M-IV,Thursday,1000AM,1130AM,2,Tutorial,C23
Mandatory,MTH212,Abstract Algebra-I,Anuradha Sharma,4,ALG,Tuesday,1000AM,1130AM,0,Lecture,A006
Mandatory,MTH212,Abstract Algebra-I,Anuradha Sharma,4,ALG,Friday,1000AM,1130AM,0,Lecture,A006
Mandatory,MTH212,Abstract Algebra-I,Anuradha Sharma,4,ALG,Wednesday,1000AM,1130AM,1,Tutorial,C24
Mandatory,MTH212,Abstract Algebra-I,Anuradha Sharma,4,ALG,Wednesday,1000AM,1130AM,2,Tutorial,C23
