Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Core,DES130,Introduction to Engineering Design-Aman Parnami,Aman Parnami,4,IED,Wednesday,10:30AM,12:00PM,0,Lecture,B105
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Tuesday,02:00PM,03:30PM,7 8,Tutorial,C03
Core,DES130,Introduction to Engineering Design-Aman Parnami,Aman Parnami,4,IED,Tuesday,02:00PM,04:00PM,1 2 3 4 5 6,Lab,305
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Thursday,02:00PM,04:00PM,7 8,Lab,303
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Wednesday,02:00PM,03:30PM,0,Tutorial,C22
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Monday,02:00PM,03:30PM,1 2 3 4 5 6,Tutorial,C24
Core,DES130,Introduction to Engineering Design-Aman Parnami,Aman Parnami,4,IED,Tuesday,02:00PM,04:00PM,1 2 3 4 5 6,Lab,302
SSH Elective,PSY301,Cognitive Psychology-Venkat Ratandeep Suri,Venkat Ratandeep Suri,4,CP,Wednesday,04:00PM,05:30PM,0,Lecture,A007
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Thursday,09:30AM,10:30AM,0,Lecture,C101
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Monday,02:00PM,03:30PM,1 2 3 4 5 6,Tutorial,C23
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Friday,10:30AM,11:30AM,0,Lecture,C101
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Friday,11:30AM,12:30PM,0,Lecture,C101
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Monday,12:00PM,01:00PM,0,Tutorial,C24
Core,CSE102,Data Structure & Algorithms-Arun Balaji,Arun Balaji,4,DSA,Tuesday,09:30AM,10:30AM,0,Lecture,C101
Core,MTH201,Probability & Statistics-Angshul Majumdar,Angshul Majumdar,4,P&S,Wednesday,02:00PM,03:30PM,0,Tutorial,C23
SSH Elective,SOC207,Information Techlnology and Society(New)-Amrit Srinivasan,Amrit Srinivasan,4,ITS,Wednesday,04:00PM,05:30PM,0,Lecture,C21
Core,ECE113,Basic Electronics-Vivek Bohara,Vivek Bohara,4,BE,Monday,12:00PM,01:00PM,0,Tutorial,C215
