Room,capacity
C01,200
C02,66
C03,30
C11,179
C12,70
C13,30
C21,152
C22,30
C23,30
C24,40
LR1,30
LR2,30
LR3,30
S01,30
S02,30
A01,100
A02,100
A11,100
A12,100
